street,city,state,geoid,state_code,county_code,tract
4703 WILKINSON BLVD,CHARLOTTE,NC,371190040004029,37,119,004000
8TH STREET CT. WEST @ 30TH AVENUE WEST,BRADENTON,FL,120810001053016,12,081,000105
3050 POLLOCK ROAD,GRAND BLANC,MI,260490111022004,26,049,011102
51 NOEL DR,GATES,NY,360550143024006,36,055,014302
4810 S 51ST STREET,OMAHA,NE,310550071012013,31,055,007101
10429 92ND AVENUE,ALLENDALE,MI,261390244022010,26,139,024402
8452 LOZIER AVENUE,WARREN,MI,260992632002000,26,099,263200
3040 S. OCEAN BLVD.,MANALAPAN,FL,,,,
2333 DUNWOODY CROSSING,DUNWOODY,GA,130890213064003,13,089,021306
1337 5TH,HEMPSTEAD,TX,484736805011108,48,473,680501
117 LOWER SWIFTWATER ROAD,SWIFTWATER,PA,420893004013005,42,089,300401
80 26TH ST,PITTSBURGH,PA,420030203001044,42,003,020300
ALAMEDA ST. ,LOS ANGELES,CA,,,,
REMOUNT RD AND NORTH RHETT AVE,NORTH CHARLESTON,SC,450190034004009,45,019,003400
820 S 15TH ST,TOLEDO,OH,390950106001031,39,095,010600
SOUTH PARK ST BRIDGE BET SPRING ST AND GRANGE AVENUE,ADAMS,NY,,,,
INTERSECTION OF TABBS LANE AND OLD COURTHOUSE WAY,CITY OF NEWPORT NEWS,VA,,,,
INTERSECTION OF WHEATON AVENUE AND K STREET,MILLVILLE,NJ,,,,
1241 PRINCETON DRIVE N.E.,ALBUQUERQUE,NM,350010003005020,35,001,000300
6709 LAKEVIEW DRIVE,CARMICHAEL,CA,060670079052007,06,067,007905
908 CUMBERLAND STREET,LEBANON,PA,420750005001057,42,075,000500
8530 HOOES ROAD,SPRINGFIELD,VA,510594325002001,51,059,432500
326 BURNETTE ROAD,FARMVILLE,NC,370799501023003,37,079,950102
1900 BLOCK OF HWY 161,JACKSONVILLE,AR,,,,
4651 COLUMBUS STREET,VIRGINIA BEACH,VA,518100410021010,51,810,041002
568 LOCUSTFIELD ROAD,FALMOUTH,MA,250010144021001,25,001,014402
GOSHEN-FIRTH RD (E 800 N) 4000' E OF SHELLEY GOSHEN RD (N 1100 E),GOSHEN,ID,,,,
4700 TOPANGA CANYON BLVD,WOODLAND HILLS,CA,060371380003016,06,037,138000
528 HIGH STREET,WILLIAMSTON,MI,260650058004010,26,065,005800
200 SUMMERWALK PARKWAY,TUCKER,GA,131350504642003,13,135,050464
6520 STATE ROAD 899,PIPPA PASSES,KY,,,,
7TH STREET ,PHOENIX,AZ,,,,
STATE RT. 34 N,WALL,NJ,,,,
18700 GLEANNLOCH LAKES BLVD,SPRING,TX,,,,
2965 LAUREL CANYON BLVD,STUDIO CITY,CA,060371439012004,06,037,143901
UNINCORPORATED COMMUNITY OF HINSDALE,HINSDALE,MT,,,,
14201 2ND AVENUE,HIGHLAND PARK,MI,261635598002002,26,163,559800
6500 DORR ST.,TOLEDO,OH,390950087013000,39,095,008701
INTERSECTION OF OLD GEORGETOWN ROAD ,NORTH BETHESDA,MD,,,,
KINDERKAMACK,HILLSDALE,NJ,,,,
7810 STEWART AND GRAY ROAD,DOWNEY,CA,060375515021001,06,037,551502
305 PARKSIDE DR.,SHOREWOOD,IL,171978832133020,17,197,883213
1101 STANFORD STREET,SAN MONICA,CA,060377016011005,06,037,701601
12618 MEADOWS EDGE LN,LITTLE ROCK,AR,051190042241030,05,119,004224
301 PITCHER STREET,KALAMAZOO,MI,260770009001012,26,077,000900
320 STATE HWY 319,TOLER,KY,,,,
5084 ROUTE 12,NORWICH,NY,360179706011018,36,017,970601
8407 STEVENSON RD,PIKESVILLE,MD,240054038022018,24,005,403802
N 27TH ST AND FAIRFIELD ST,LINCOLN,NE,,,,
114 N FRANKLIN STREET,MANCHESTER,IA,190559503005002,19,055,950300
140 MAIN STREET,WEST FORK,AR,051430110033064,05,143,011003
3300 S. OAK PARK AVE.,BERWYN,IL,170318154002007,17,031,815400
COUNTY RD. 200 W. AT ABBEY LN.,COLUMBUS,IN,,,,
CHAVENELLE RD ,DUBUQUE,IA,,,,
27667 KAYLYN CIRCLE,HARVEST,AL,010830208031064,01,083,020803
INTERSECTION OF FOSTER WELLS RD AND CAPITOL AVE,PASCO,WA,,,,
286 DAVIDSON DR,GLENVILLE,WV,540219678001004,54,021,967800
10385 HICKORY FLAT HIGHWAY,WOODSTOCK,GA,130570908092010,13,057,090809
14360 CORNELL TAYLOR,TAYLOR,MI,261635845012022,26,163,584501
26 CLINES ADDITION,DAVIN,WV,540459565002020,54,045,956500
103 BEAVER PLAZA,BEAVER,WV,,,,
826 SOUTH HOPKINS ST.,NEW IBERIA,LA,220450308002007,22,045,030800
2124 CHESHIRE BRIDGE ROAD NE,ATLANTA,GA,131210092031000,13,121,009203
3645 E 57TH STREET,CLEVELAND,OH,390351981003003,39,035,198100
312 REDWOOD PLACE,COLLEGE PLACE,WA,530719203021044,53,071,920302
INTERSECTION OF CEDAR ROAD AND WATERS ROAD,CHESAPEAKE,VA,,,,
203 LANDOVER ROAD,BRYN MAWR,PA,420454083002000,42,045,408300
4626 RT. 49,KNOXVILLE,PA,421179503004049,42,117,950300
4940 WEST RAY ROAD,CHANDLER,AZ,040138106001007,04,013,810600
9508 MUDVILLE RD,MILLINGTON,TN,471570207002001,47,157,020700
211 WASHINGTON STREET,SELMA,AL,010479565003046,01,047,956500
RACE STREET ,SAN JOSE,CA,,,,
27 PARK ST,MAYNARD,MA,250173641023021,25,017,364102
10015 W FORT ST,DETROIT,MI,261635246001124,26,163,524600
777 CANYON ROAD,SANTA FE,NM,350490005003010,35,049,000500
LONG STREET,FORT BRAGG,NC,,,,
501 WILLOW BLVD.,WILLOW SPRINGS,IL,170318238013011,17,031,823801
13950 ANDORRA DR.,WOODBRIDGE,VA,511539012031004,51,153,901203
3500 LAKELAND ROAD,GAINESVILLE,GA,131390005013005,13,139,000501
JOHN JAMES WAY ,HAYMARKET,VA,,,,
MARKET CIRCLE ,SALINAS,CA,,,,
HWY 290 E @ S CHAPPELL HILL ST,BRENHAM,TX,,,,
4826 WOODLAWN,ADDIS,LA,,,,
558 N RYBOLT AVE,INDIANAPOLIS,IN,180973417021012,18,097,341702
6997 W CHRISTINE ST,RATHDRUM,ID,160550003031001,16,055,000303
1146 N 32ND ROAD,OTTAWA,IL,,,,
DORMANSVILLE BLVD ,UPPER MARLBORO,MD,,,,
301 EL BETHEL ROAD,CONWAY,SC,450510704001001,45,051,070400
2942 TRIA ROAD,FAIRBANKS,AK,020900010002094,02,090,001000
3906 HOGARTH AVENUE,FLINT,MI,260490036003019,26,049,003600
920 11TH STREET,RAPID CITY,SD,461030108002002,46,103,010800
58 VERMONT STREET,BROOKLYN,NY,360471146002007,36,047,114600
971 HWY. 121,ALLEN,TX,,,,
1177 ABB ROAD,CHATOM,AL,011290440002017,01,129,044000
517 WISCONSIN STREET,WAUPACA,WI,551351010001059,55,135,101000
E. 11 MILE ROAD,ROYAL OAK,MI,,,,
3111 WYANDOTTE ST,KANSAS CITY,MO,290950167003000,29,095,016700
7224 ANNAPOLIS RD,HYATTSVILLE,MD,240338038032029,24,033,803803
5723 SHADY OAKS DRIVE,WINDSOR,CO,,,,
4244 BULLFROG RD,CLE ELUM,WA,530379751041103,53,037,975104
305 POWELL STREET,GLENVILLE,WV,540219678002016,54,021,967800
GATEWAY BLVD. ,WESLEY CHAPEL,FL,,,,
INTERSECTION OF ROCKY RIVER RD AND SECREST SHORT CUT RD.,MONROE,NC,,,,
FERN HOLLOW BRIDGE,PITTSBURGH,PA,,,,
512 HARRIS AVENUE,RAEFORD,NC,370939703004047,37,093,970300
869 FOX STREET,BRONX,NY,360050087003000,36,005,008700
228 W. WALTON BOULEVARD,PONTIAC,MI,261251411002009,26,125,141100
WAIAKAMILO ROAD (BETWEEN HART ST ,HONOLULU,HI,,,,
217 BOSWELL RD,BALTIMORE,MD,245102804032004,24,510,280403
8500 E PARMER LANE,MANOR,TX,,,,
