title,type,agency_names,abstract,citation,document_number,html_url,pdf_url,publication_date
"Pipeline Safety: Operator Qualification, Cost Recovery, Accident and Incident Notification, and Other Pipeline Safety Changes",Rule,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"PHMSA is amending the pipeline safety regulations to address requirements of the Pipeline Safety, Regulatory Certainty, and Job Creation Act of 2011 (2011 Act), and to update and clarify certain regulatory requirements. Among other provisions, PHMSA is adding a specific time frame for telephonic or electronic notifications of accidents and incidents and adding provisions for cost recovery for design reviews of certain new projects, for the renewal of expiring special permits, and setting out the process for requesting protection of confidential commercial information. PHMSA is also amending the drug and alcohol testing requirements, and incorporating consensus standards by reference for in-line inspection (ILI) and Stress Corrosion Cracking Direct Assessment (SCCDA).",82 FR 7972, 2016-31461,https://www.federalregister.gov/documents/2017/01/23/2016-31461/pipeline-safety-operator-qualification-cost-recovery-accident-and-incident-notification-and-other,https://www.govinfo.gov/content/pkg/FR-2017-01-23/pdf/2016-31461.pdf,01/23/2017
Hazardous Materials: FAST Act Requirements for Real-Time Train Consist Information by Rail,Proposed Rule,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"PHMSA requests comment on certain provisions of the Fixing America's Surface Transportation (FAST) Act of 2015. The FAST Act directs the Secretary of Transportation to require Class I railroads that transport hazardous materials to generate accurate, real-time, and electronic train consist information. Further, the FAST Act includes provisions for the railroads to provide fusion centers with electronic train consist information to share with State and local first responders, emergency response officials, and law enforcement personnel during an accident, incident, or emergency. In support of developing regulations to implement the FAST Act mandates, PHMSA specifically requests comments and information on baseline changes, affected entities, and costs and benefits related to fusion centers collecting train consist information from railroads and disseminating this information in the event of an emergency.",82 FR 6451, 2017-01240,https://www.federalregister.gov/documents/2017/01/19/2017-01240/hazardous-materials-fast-act-requirements-for-real-time-train-consist-information-by-rail,https://www.govinfo.gov/content/pkg/FR-2017-01-19/pdf/2017-01240.pdf,01/19/2017
Hazardous Materials: Volatility of Unrefined Petroleum Products and Class 3 Materials,Proposed Rule,Transportation Department; Pipeline and Hazardous Materials Safety Administration,PHMSA is considering revising the Hazardous Materials Regulations (HMR) to establish vapor pressure limits for unrefined petroleum-based products and potentially all Class 3 flammable liquid hazardous materials that would apply during the transportation of the products or materials by any mode. PHMSA is currently assessing the merits of a petition for rulemaking submitted by the Attorney General of the State of New York regarding vapor pressure standards for the transportation of crude oil. The petition requests that PHMSA implement a Reid Vapor Pressure (RVP) limit less than 9.0 pounds per square inch (psi) for crude oil transported by rail. PHMSA will use the comments in response to this ANPRM to help assess and respond to the petition and to evaluate any other potential regulatory actions related to sampling and testing of crude oil and other Class 3 hazardous materials. PHMSA will also evaluate the potential safety benefits and costs of utilizing vapor pressure thresholds within the hazardous materials classification process for unrefined petroleum-based products and Class 3 hazardous materials.,82 FR 5499, 2017-00913,https://www.federalregister.gov/documents/2017/01/18/2017-00913/hazardous-materials-volatility-of-unrefined-petroleum-products-and-class-3-materials,https://www.govinfo.gov/content/pkg/FR-2017-01-18/pdf/2017-00913.pdf,01/18/2017
Hazardous Materials: Information Collection Activities,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"This notice announces Office of Management and Budget (OMB) approval and extension for four Information Collection Requests (ICRs). Specifically, this notice announces the following: OMB approval and extension until February 28, 2018 for OMB Control No. 2137-0586, ``Hazardous Materials Public Sector Training & Planning Grants''; OMB approval and extension until March 31, 2019 for OMB Control No. 2137- 0628, ``Flammable Hazardous Materials by Rail Transportation''; and OMB approval and extension until June 30, 2019 for both OMB Control No. 2137-0613, ``Subsidiary Hazard Class and Number/Type of Packagings,'' and OMB Control No. 2137-0510, ``Radioactive (RAM) Transportation Requirements.''",82 FR 4965, 2017-00828,https://www.federalregister.gov/documents/2017/01/17/2017-00828/hazardous-materials-information-collection-activities,https://www.govinfo.gov/content/pkg/FR-2017-01-17/pdf/2017-00828.pdf,01/17/2017
Pipeline Safety: Random Drug Testing Rate; Contractor Management Information System Reporting; and Obtaining Drug and Alcohol Management Information System Sign-In Information,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"PHMSA has determined that the minimum random drug testing rate for covered employees will remain at 25 percent during calendar year 2017. Operators are reminded that drug and alcohol testing information must be submitted for contractors performing or ready to perform covered functions. For calendar year 2016 reporting, PHMSA will not attempt to mail the ``user name'' and ``password'' for the Drug and Alcohol Management Information System (DAMIS) to operators, but will make the user name and password available in the PHMSA Portal (https:// portal.phmsa.dot.gov/pipeline).",81 FR 95293, 2016-31220,https://www.federalregister.gov/documents/2016/12/27/2016-31220/pipeline-safety-random-drug-testing-rate-contractor-management-information-system-reporting-and,https://www.govinfo.gov/content/pkg/FR-2016-12-27/pdf/2016-31220.pdf,12/27/2016
Pipeline Safety: Information Collection Activities,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"On May 13, 2016, in accordance with the Paperwork Reduction Act of 1995, the Pipeline and Hazardous Materials Safety Administration (PHMSA) published a notice in the Federal Register to invite comments on an information collection under Office of Management and Budget (OMB) Control No. 2137-0522 to revise three forms: (1) PHMSA F 7100.1 Incident Report--Gas Distribution System; (2) PHMSA F 7100.2 Incident Report--Natural and Other Gas Transmission and Gathering Pipeline Systems; and (3) PHMSA F 7100.3 Incident Report--Liquefied Natural Gas (LNG) Facilities, and the instructions associated with the Forms. PHMSA also invited comments on PHMSA F 7000-1 Accident Report-Hazardous Liquid Pipeline Systems and its associated instruction under OMB control number 2137-0047. During the 60-day comment period, PHMSA received 10 comments from stakeholders in response to the proposed form revisions. All commenters, except one, supported the overall proposed changes to enhance pipeline safety. PHMSA is publishing this notice to respond to the specific comments received and to announce that the information collection will be submitted to OMB for approval.",81 FR 95294, 2016-31221,https://www.federalregister.gov/documents/2016/12/27/2016-31221/pipeline-safety-information-collection-activities,https://www.govinfo.gov/content/pkg/FR-2016-12-27/pdf/2016-31221.pdf,12/27/2016
Hazardous Materials: Notice of Applications for Special Permits,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In accordance with the procedures governing the application for, and the processing of, special permits from the Department of Transportation's Hazardous Material Regulations (49 CFR part 107, subpart B), notice is hereby given that the Office of Hazardous Materials Safety has received the application described herein. Each mode of transportation for which a particular special permit is requested is indicated by a number in the ``Nature of Application'' portion of the table below as follows: 1--Motor vehicle, 2--Rail freight, 3--Cargo vessel, 4--Cargo aircraft only, 5--Passenger-carrying aircraft.",81 FR 94016, 2016-30573,https://www.federalregister.gov/documents/2016/12/22/2016-30573/hazardous-materials-notice-of-applications-for-special-permits,https://www.govinfo.gov/content/pkg/FR-2016-12-22/pdf/2016-30573.pdf,12/22/2016
Hazardous Materials: Notice of Applications for Special Permits,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In accordance with the procedures governing the application for, and the processing of, special permits from the Department of Transportation's Hazardous Material Regulations (49 CFR part 107, subpart B), notice is hereby given that the Office of Hazardous Materials Safety has received the application described herein. Each mode of transportation for which a particular special permit is requested is indicated by a number in the ``Nature of Application'' portion of the table below as follows: 1--Motor vehicle, 2--Rail freight, 3--Cargo vessel, 4--Cargo aircraft only, 5--Passenger-carrying aircraft.",81 FR 94018, 2016-30574,https://www.federalregister.gov/documents/2016/12/22/2016-30574/hazardous-materials-notice-of-applications-for-special-permits,https://www.govinfo.gov/content/pkg/FR-2016-12-22/pdf/2016-30574.pdf,12/22/2016
Hazardous Materials: Notice of Applications for Special Permits,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In accordance with the procedures governing the application for, and the processing of, special permits from the Department of Transportation's Hazardous Material Regulations (49 CFR part 107, subpart B), notice is hereby given that the Office of Hazardous Materials Safety has received the application described herein. Each mode of transportation for which a particular special permit is requested is indicated by a number in the ``Nature of Application'' portion of the table below as follows: 1--Motor vehicle, 2--Rail freight, 3--Cargo vessel, 4--Cargo aircraft only, 5--Passenger-carrying aircraft.",81 FR 94018, 2016-30577,https://www.federalregister.gov/documents/2016/12/22/2016-30577/hazardous-materials-notice-of-applications-for-special-permits,https://www.govinfo.gov/content/pkg/FR-2016-12-22/pdf/2016-30577.pdf,12/22/2016
Hazardous Materials: Notice of Applications for Special Permits,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In accordance with the procedures governing the application for, and the processing of, special permits from the Department of Transportation's Hazardous Material Regulations (49 CFR part 107, subpart B), notice is hereby given that the Office of Hazardous Materials Safety has received the application described herein. Each mode of transportation for which a particular special permit is requested is indicated by a number in the ``Nature of Application'' portion of the table below as follows: 1--Motor vehicle, 2--Rail freight, 3--Cargo vessel, 4--Cargo aircraft only, 5--Passenger-carrying aircraft.",81 FR 94021, 2016-30575,https://www.federalregister.gov/documents/2016/12/22/2016-30575/hazardous-materials-notice-of-applications-for-special-permits,https://www.govinfo.gov/content/pkg/FR-2016-12-22/pdf/2016-30575.pdf,12/22/2016
Pipeline Safety: Safety of Underground Natural Gas Storage Facilities,Rule,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"This interim final rule (IFR) revises the Federal pipeline safety regulations to address critical safety issues related to downhole facilities, including wells, wellbore tubing, and casing, at underground natural gas storage facilities. This IFR responds to Section 12 of the Protecting our Infrastructure of Pipelines and Enhancing Safety Act of 2016, which was enacted following the serious natural gas leak at the Aliso Canyon facility in California on October 23, 2015. This IFR incorporates by reference two American Petroleum Institute (API) Recommended Practices (RP): API RP 1170, ``Design and Operation of Solution-mined Salt Caverns used for Natural Gas Storage,'' issued in July 2015; and API RP 1171, ``Functional Integrity of Natural Gas Storage in Depleted Hydrocarbon Reservoirs and Aquifer Reservoirs,'' issued in September 2015.",81 FR 91860, 2016-30045,https://www.federalregister.gov/documents/2016/12/19/2016-30045/pipeline-safety-safety-of-underground-natural-gas-storage-facilities,https://www.govinfo.gov/content/pkg/FR-2016-12-19/pdf/2016-30045.pdf,12/19/2016
Hazardous Materials: Use of DOT Specification 39 Cylinders for Liquefied Flammable Compressed Gas,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,PHMSA is issuing this safety advisory notice to inform offerors and users of DOT Specification 39 (DOT-39) cylinders that DOT- 39 cylinders with an internal volume exceeding 75 cubic inches (in\3\) (1.23 L) should not be filled with liquefied flammable compressed gas. PHMSA maintains filling or transporting DOT-39 cylinders with an internal volume exceeding 75 in\3\ (1.23 L) is not safe.,81 FR 90061, 2016-29813,https://www.federalregister.gov/documents/2016/12/13/2016-29813/hazardous-materials-use-of-dot-specification-39-cylinders-for-liquefied-flammable-compressed-gas,https://www.govinfo.gov/content/pkg/FR-2016-12-13/pdf/2016-29813.pdf,12/13/2016
Pipeline Safety: High Consequence Area Identification Methods for Gas Transmission Pipelines,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"PHMSA is issuing this advisory bulletin to remind gas transmission pipeline operators of certain previously issued guidance and provide operators with additional guidance for the identification of High Consequence Areas (HCAs) along pipeline right-of-ways. This advisory bulletin provides suggestions for accurately mapping and integrating HCA data, documenting how mapping systems are used, periodically verifying and updating their mapping systems, utilizing buffer zones (tolerances) to provide additional protection around the calculated potential impact radius (PIR) along their pipelines, and ensuring the accuracy of class locations. The bulletin emphasizes that HCA identification relies on pipeline-specific information regarding the location, size, and operating characteristics of the line, as well as the identification of structures, specified sites, and their intended usage along the pipeline right-of-way.",81 FR 90062, 2016-29880,https://www.federalregister.gov/documents/2016/12/13/2016-29880/pipeline-safety-high-consequence-area-identification-methods-for-gas-transmission-pipelines,https://www.govinfo.gov/content/pkg/FR-2016-12-13/pdf/2016-29880.pdf,12/13/2016
Pipeline Safety: Safeguarding and Securing Pipelines From Unauthorized Access,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"PHMSA is issuing this Advisory Bulletin in coordination with the Department of Homeland Security's (DHS), Transportation Security Administration (TSA), to remind all pipeline owners and operators of the importance of safeguarding and securing their pipeline facilities and monitoring their Supervisory Control and Data Acquisition (SCADA) systems for abnormal operations and/or indications of unauthorized access or interference with safe pipeline operations. Additionally, this Advisory Bulletin is to remind the public of the dangers associated with tampering with pipeline system facilities. This Advisory Bulletin follows recent incidents in the United States that highlight threats to oil and gas infrastructure. On October 11, 2016, several unauthorized persons accessed and interfered with pipeline operations in four states, creating the potential for serious infrastructure damage and significant economic and environmental harm, as well as endangering public safety. While the incidents did not result in any damage or injuries, the potential impacts emphasize the need for increased awareness and vigilance.",81 FR 89183, 2016-29500,https://www.federalregister.gov/documents/2016/12/09/2016-29500/pipeline-safety-safeguarding-and-securing-pipelines-from-unauthorized-access,https://www.govinfo.gov/content/pkg/FR-2016-12-09/pdf/2016-29500.pdf,12/09/2016
Pipeline Safety: Meeting of the Gas Pipeline Safety Advisory Committee,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"This notice announces that the public meeting of the Technical Pipeline Safety Standards Committee, also known as the Gas Pipeline Advisory Committee (GPAC), scheduled for December 7-8, 2016, has been rescheduled for January 11-12, 2017. Notice of the original meeting appeared in the Federal Register on November 22, 2016, (81 FR 83795).",81 FR 88322, 2016-29360,https://www.federalregister.gov/documents/2016/12/07/2016-29360/pipeline-safety-meeting-of-the-gas-pipeline-safety-advisory-committee,https://www.govinfo.gov/content/pkg/FR-2016-12-07/pdf/2016-29360.pdf,12/07/2016
Hazardous Materials: Notification of the Pilot-in-Command and Response to Air Related Petitions for Rulemaking (RRR),Proposed Rule,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In consultation with the Federal Aviation Administration (FAA), PHMSA proposes to amend the Hazardous Materials Regulations (HMR) to align with current international standards for the air transportation of hazardous materials. The proposals in this rule would amend certain special provisions, packaging requirements, notification of pilot-in-command (NOTOC) requirements, and exceptions for passengers and crew members. In addition to harmonization with international standards, several of the proposals in this rule are responsive to petitions for rulemaking submitted by the regulated community. PHMSA invites all interested persons to provide comments regarding these proposed revisions.",81 FR 87510, 2016-28403,https://www.federalregister.gov/documents/2016/12/05/2016-28403/hazardous-materials-notification-of-the-pilot-in-command-and-response-to-air-related-petitions-for,https://www.govinfo.gov/content/pkg/FR-2016-12-05/pdf/2016-28403.pdf,12/05/2016
Pipeline Safety: Meeting of the Voluntary Information-Sharing System Working Group,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,This notice announces a public meeting of the newly created Voluntary Information-Sharing System (VIS) Working Group. The VIS Working Group will convene to discuss administrative procedures and consider the development of a voluntary information-sharing system.,81 FR 85684, 2016-28425,https://www.federalregister.gov/documents/2016/11/28/2016-28425/pipeline-safety-meeting-of-the-voluntary-information-sharing-system-working-group,https://www.govinfo.gov/content/pkg/FR-2016-11-28/pdf/2016-28425.pdf,11/28/2016
Hazardous Materials: Notice of Applications for Special Permits,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In accordance with the procedures governing the application for, and the processing of, special permits from the Department of Transportation's Hazardous Material Regulations (49 CFR part 107, subpart B), notice is hereby given that the Office of Hazardous Materials Safety has received the application described herein. Each mode of transportation for which a particular special permit is requested is indicated by a number in the ``Nature of Application'' portion of the table below as follows: 1--Motor vehicle, 2--Rail freight, 3--Cargo vessel, 4--Cargo aircraft only, 5--Passenger-carrying aircraft.",81 FR 85325, 2016-27727,https://www.federalregister.gov/documents/2016/11/25/2016-27727/hazardous-materials-notice-of-applications-for-special-permits,https://www.govinfo.gov/content/pkg/FR-2016-11-25/pdf/2016-27727.pdf,11/25/2016
Hazardous Materials: Notice of Applications for Special Permits,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In accordance with the procedures governing the application for, and the processing of, special permits from the Department of Transportation's Hazardous Material Regulations (49 CFR part 107, subpart B), notice is hereby given that the Office of Hazardous Materials Safety has received the application described herein. Each mode of transportation for which a particular special permit is requested is indicated by a number in the ``Nature of Application'' portion of the table below as follows: 1--Motor vehicle, 2--Rail freight, 3--Cargo vessel, 4--Cargo aircraft only, 5--Passenger-carrying aircraft.",81 FR 85327, 2016-27725,https://www.federalregister.gov/documents/2016/11/25/2016-27725/hazardous-materials-notice-of-applications-for-special-permits,https://www.govinfo.gov/content/pkg/FR-2016-11-25/pdf/2016-27725.pdf,11/25/2016
Hazardous Materials-Notice of Applications for Special Permits,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In accordance with the procedures governing the application for, and the processing of, special permits from the Department of Transportation's Hazardous Material Regulations (49 CFR part 107, subpart B), notice is hereby given that the Office of Hazardous Materials Safety has received the application described herein. Each mode of transportation for which a particular special permit is requested is indicated by a number in the ``Nature of Application'' portion of the table below as follows: 1--Motor vehicle, 2--Rail freight, 3--Cargo vessel, 4--Cargo aircraft only, 5--Passenger-carrying aircraft.",81 FR 85328, 2016-27724,https://www.federalregister.gov/documents/2016/11/25/2016-27724/hazardous-materials-notice-of-applications-for-special-permits,https://www.govinfo.gov/content/pkg/FR-2016-11-25/pdf/2016-27724.pdf,11/25/2016
Hazardous Materials: Notice of Applications for Special Permits,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In accordance with the procedures governing the application for, and the processing of, special permits from the Department of Transportation's Hazardous Material Regulations (49 CFR part 107, subpart B), notice is hereby given that the Office of Hazardous Materials Safety has received the application described herein. Each mode of transportation for which a particular special permit is requested is indicated by a number in the ``Nature of Application'' portion of the table below as follows: 1--Motor vehicle, 2--Rail freight, 3--Cargo vessel, 4--Cargo aircraft only, 5--Passenger-carrying aircraft.",81 FR 85329, 2016-27726,https://www.federalregister.gov/documents/2016/11/25/2016-27726/hazardous-materials-notice-of-applications-for-special-permits,https://www.govinfo.gov/content/pkg/FR-2016-11-25/pdf/2016-27726.pdf,11/25/2016
Pipeline Safety: Meeting of the Gas Pipeline Safety Advisory Committee,Proposed Rule,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"This notice announces a public meeting of the Technical Pipeline Safety Standards Committee, also known as the Gas Pipeline Advisory Committee (GPAC). The GPAC will meet to discuss a proposed rulemaking to address regulatory requirements for onshore gas transmission and gathering pipelines.",81 FR 83795, 2016-28065,https://www.federalregister.gov/documents/2016/11/22/2016-28065/pipeline-safety-meeting-of-the-gas-pipeline-safety-advisory-committee,https://www.govinfo.gov/content/pkg/FR-2016-11-22/pdf/2016-28065.pdf,11/22/2016
Hazardous Materials: PIPES Act Requirements for Identification Numbers on Cargo Tanks Containing Petroleum Based Fuel,Proposed Rule,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"PHMSA is publishing this advance notice of proposed rulemaking (ANPRM) in response to the Protecting our Infrastructure of Pipelines and Enhancing Safety (PIPES) Act of 2016, which reauthorizes the pipeline safety program and requires a number of reports and mandates. The PIPES Act requires PHMSA to take regulatory actions to establish minimum safety standards for underground natural gas storage facilities; to update the minimum safety standards for permanent, small scale liquefied natural gas pipeline facilities; and to publish an ANPRM to address a petition for rulemaking proposing hazardous materials regulations related to the marking of identification numbers on cargo tanks. This ANPRM specifically addresses the PIPES Act requirement applicable to the petition for rulemaking related to the marking of identification numbers on cargo tanks. PHMSA will consider the comments, data, and information received in any future action related to the petition.",81 FR 83190, 2016-27911,https://www.federalregister.gov/documents/2016/11/21/2016-27911/hazardous-materials-pipes-act-requirements-for-identification-numbers-on-cargo-tanks-containing,https://www.govinfo.gov/content/pkg/FR-2016-11-21/pdf/2016-27911.pdf,11/21/2016
Pipeline Safety: Voluntary Information-Sharing System Working Group Nominations,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"PHMSA is seeking nominations for individuals to serve as members for three-year terms on the Voluntary Information-Sharing System (VIS) Working Group. This is a newly created working group established in accordance with section 10 of the Protecting our Infrastructure of Pipelines and Enhancing Safety (PIPES) Act of 2016 (Pub. L. 114-183), the Federal Advisory Committee Act (FACA) of 1972 (5 U.S.C., App. 2, as amended), and 41 CFR 102-3.50(a). The Secretary of Transportation (Secretary) must convene a working group by December 19, 2016 to consider the development of a voluntary information-sharing system to encourage collaborative efforts to improve inspection information feedback and information sharing with the purpose of improving gas transmission and hazardous liquid pipeline facility integrity risk analysis. PHMSA intends to comply with section 10 of the PIPES Act of 2016 by convening a working group by December 19, 2016.",81 FR 78684, 2016-26905,https://www.federalregister.gov/documents/2016/11/08/2016-26905/pipeline-safety-voluntary-information-sharing-system-working-group-nominations,https://www.govinfo.gov/content/pkg/FR-2016-11-08/pdf/2016-26905.pdf,11/08/2016
Pipeline Safety: Underground Natural Gas Storage Facility User Fee,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,This notice is to advise all underground natural gas storage facility operators of a proposed PHMSA pipeline user fee assessment and rate structure.,81 FR 78261, 2016-26854,https://www.federalregister.gov/documents/2016/11/07/2016-26854/pipeline-safety-underground-natural-gas-storage-facility-user-fee,https://www.govinfo.gov/content/pkg/FR-2016-11-07/pdf/2016-26854.pdf,11/07/2016
Pipeline Safety: Research and Development Forum,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"This notice announces a PHMSA sponsored Pipeline Safety Research and Development Forum. PHMSA periodically holds this public forum to generate a national research agenda that fosters solutions for the many challenges with pipeline safety and with protecting the environment. This forum allows public, government, and industry pipeline stakeholders to develop a consensus on the technical gaps and challenges for future research. It also reduces duplication of programs, factors ongoing research efforts, leverages resources, and broadens synergies. The national research agenda developed through this forum is aligned with the needs of the pipeline safety mission and makes use of the best available knowledge and expertise and considers stakeholder perspectives.",81 FR 76686, 2016-26564,https://www.federalregister.gov/documents/2016/11/03/2016-26564/pipeline-safety-research-and-development-forum,https://www.govinfo.gov/content/pkg/FR-2016-11-03/pdf/2016-26564.pdf,11/03/2016
Hazardous Materials: Notice of Applications for Special Permits,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In accordance with the procedures governing the application for, and the processing of, special permits from the Department of Transportation's Hazardous Material Regulations (49 CFR part 107, subpart B), notice is hereby given that the Office of Hazardous Materials Safety has received the application described herein. Each mode of transportation for which a particular special permit is requested is indicated by a number in the ``Nature of Application'' portion of the table below as follows: 1--Motor vehicle, 2--Rail freight, 3--Cargo vessel, 4--Cargo aircraft only, 5--Passenger-carrying aircraft.",81 FR 73468, 2016-25534,https://www.federalregister.gov/documents/2016/10/25/2016-25534/hazardous-materials-notice-of-applications-for-special-permits,https://www.govinfo.gov/content/pkg/FR-2016-10-25/pdf/2016-25534.pdf,10/25/2016
Hazardous Materials: Notice of Applications for Special Permits,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In accordance with the procedures governing the application for, and the processing of, special permits from the Department of Transportation's Hazardous Material Regulations (49 CFR part 107, subpart B), notice is hereby given that the Office of Hazardous Materials Safety has received the application described herein. Each mode of transportation for which a particular special permit is requested is indicated by a number in the ``Nature of Application'' portion of the table below as follows: 1--Motor vehicle, 2--Rail freight, 3--Cargo vessel, 4--Cargo aircraft only, 5--Passenger-carrying aircraft.",81 FR 73470, 2016-25536,https://www.federalregister.gov/documents/2016/10/25/2016-25536/hazardous-materials-notice-of-applications-for-special-permits,https://www.govinfo.gov/content/pkg/FR-2016-10-25/pdf/2016-25536.pdf,10/25/2016
Hazardous Materials: Notice of Applications for Special Permits,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In accordance with the procedures governing the application for, and the processing of, special permits from the Department of Transportation's Hazardous Material Regulations (49 CFR part 107, subpart B), notice is hereby given that the Office of Hazardous Materials Safety has received the application described herein. Each mode of transportation for which a particular special permit is requested is indicated by a number in the ``Nature of Application'' portion of the table below as follows: 1--Motor vehicle, 2--Rail freight, 3--Cargo vessel, 4--Cargo aircraft only, 5--Passenger-carrying aircraft.",81 FR 73471, 2016-25538,https://www.federalregister.gov/documents/2016/10/25/2016-25538/hazardous-materials-notice-of-applications-for-special-permits,https://www.govinfo.gov/content/pkg/FR-2016-10-25/pdf/2016-25538.pdf,10/25/2016
Hazardous Materials: Notice of Applications for Special Permits,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"In accordance with the procedures governing the application for, and the processing of, special permits from the Department of Transportation's Hazardous Material Regulations (49 CFR part 107, subpart B), notice is hereby given that the Office of Hazardous Materials Safety has received the application described herein. Each mode of transportation for which a particular special permit is requested is indicated by a number in the ``Nature of Application'' portion of the table below as follows: 1--Motor vehicle, 2--Rail freight, 3--Cargo vessel, 4--Cargo aircraft only, 5--Passenger-carrying aircraft.",81 FR 73472, 2016-25537,https://www.federalregister.gov/documents/2016/10/25/2016-25537/hazardous-materials-notice-of-applications-for-special-permits,https://www.govinfo.gov/content/pkg/FR-2016-10-25/pdf/2016-25537.pdf,10/25/2016
Pipeline Safety: Expanding the Use of Excess Flow Valves in Gas Distribution Systems to Applications Other Than Single-Family Residences,Rule,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"",81 FR 72739, C1-2016-24817,https://www.federalregister.gov/documents/2016/10/21/C1-2016-24817/pipeline-safety-expanding-the-use-of-excess-flow-valves-in-gas-distribution-systems-to-applications,https://www.govinfo.gov/content/pkg/FR-2016-10-21/pdf/C1-2016-24817.pdf,10/21/2016
"Hazardous Materials: Damaged, Defective, Recalled Lithium Cells or Batteries or Portable Electronic Devices",Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"Safety Advisory Notice 2016-18 is withdrawn effective at noon (ET) on October 15, 2016. At that time, it will be superseded by an Emergency Restriction/Prohibition Order [Order No. FAA-2016-9288] by the United States Department of Transportation (DOT) pursuant to 49 U.S.C. 5121(d).",81 FR 72670, 2016-25362,https://www.federalregister.gov/documents/2016/10/20/2016-25362/hazardous-materials-damaged-defective-recalled-lithium-cells-or-batteries-or-portable-electronic,https://www.govinfo.gov/content/pkg/FR-2016-10-20/pdf/2016-25362.pdf,10/20/2016
Hazardous Materials: International Standards on the Transport of Dangerous Goods,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"This notice is to inform interested persons that PHMSA will conduct a public meeting on Tuesday, November 15, 2016, in preparation for the 50th session of the United Nations Sub-Committee of Experts on the Transport of Dangerous Goods (UNSCOE TDG) to be held in Geneva, Switzerland from November 28 to December 6, 2016. During this public meeting, PHMSA will be requesting comments relative to potential new work items that may be considered for inclusion in the international agenda.",81 FR 71790, 2016-25181,https://www.federalregister.gov/documents/2016/10/18/2016-25181/hazardous-materials-international-standards-on-the-transport-of-dangerous-goods,https://www.govinfo.gov/content/pkg/FR-2016-10-18/pdf/2016-25181.pdf,10/18/2016
Pipeline Safety: General Policy Statement; Civil Penalties,Notice,Transportation Department; Pipeline and Hazardous Materials Safety Administration,"The purpose of this policy statement is to advise pipeline owners and operators that the Pipeline and Hazardous Materials Safety Administration (PHMSA) has now made a civil penalty framework accessible on its Web site and, effective October 17, 2016, a respondent in an enforcement case may request a proposed civil penalty calculation related to that case. It further advises pipeline owners and operators that PHMSA will, as appropriate, issue higher penalties in order to apply stronger deterrence and drive down incident risk.",81 FR 71566, 2016-25000,https://www.federalregister.gov/documents/2016/10/17/2016-25000/pipeline-safety-general-policy-statement-civil-penalties,https://www.govinfo.gov/content/pkg/FR-2016-10-17/pdf/2016-25000.pdf,10/17/2016
